A,O,T,mac,meanlat,meanmac,meanwhak,minlat,n,p,perimeter,q,r,whak
1.116e13,590200.0,286.8,19080.0,19.54,1.709e-9,2.724e-9,1.856,23,-1,2.104e7,9.018e-9,100700.0,30410.0
8.507e11,409200.0,223.7,93.26,87.16,1.096e-10,1.037e-13,87.16,23,-1,2.618e6,1.486e-10,126.4,0.0882
5.047e13,609500.0,275.3,94570.0,25.93,1.874e-9,1.881e-9,1.856,23,-1,7.893e7,7.518e-9,379400.0,94920.0
1.466e11,355300.0,269.5,113.5,-31.54,7.741e-10,4.166e-11,31.54,23,-1,1.542e6,9.65e-10,141.5,6.108
4.08e11,329600.0,255.8,833.3,-37.69,2.042e-9,8.115e-11,35.26,23,-1,2.972e6,6.184e-9,2523.0,33.11
9.783e12,533800.0,249.5,11330.0,-43.95,1.158e-9,5.881e-11,31.54,23,-1,1.897e7,3.967e-9,38810.0,575.3
3.425e11,412700.0,295.0,581.9,-5.567,1.699e-9,1.093e-9,5.567,23,-1,2.493e6,2.556e-9,875.3,374.3
1.312e13,555200.0,246.4,19770.0,52.84,1.506e-9,5.407e-11,38.97,23,-1,2.263e7,5.672e-9,74450.0,709.7
2.433e12,472500.0,292.0,2066.0,19.1,8.49e-10,4.335e-10,12.99,23,-1,8.027e6,1.176e-9,2862.0,1055.0
3.034e12,437400.0,245.0,1330.0,-46.69,4.383e-10,5.433e-12,38.97,23,-1,8.066e6,6.351e-10,1927.0,16.48
1.438e13,614100.0,288.5,15390.0,-16.49,1.07e-9,1.628e-9,1.856,23,-1,2.249e7,4.932e-9,70940.0,23410.0
2.422e12,445600.0,286.0,698.4,27.88,2.884e-10,7.04e-11,20.41,23,-1,7.809e6,3.244e-10,785.5,170.5
8.507e11,409200.0,220.2,91.9,-87.16,1.08e-10,8.202e-14,87.16,24,-1,2.618e6,1.608e-10,136.8,0.06977
1.396e13,460000.0,273.3,34040.0,-24.65,2.438e-9,5.684e-9,1.856,24,-1,3.88e7,1.996e-8,278700.0,79370.0
5.672e13,683700.0,253.8,62870.0,47.07,1.108e-9,9.138e-10,1.856,24,-1,7.254e7,4.571e-9,259300.0,51830.0
1.555e12,391200.0,274.4,2528.0,34.44,1.626e-9,1.605e-10,27.83,24,-1,6.05e6,3.386e-9,5266.0,249.6
2.553e12,462600.0,294.0,6870.0,5.282,2.691e-9,3.063e-9,1.856,24,-1,9.11e6,8.367e-9,21360.0,7819.0
2.03e13,681500.0,280.5,11140.0,-25.61,5.488e-10,3.619e-10,5.567,24,-1,3.15e7,1.27e-9,25790.0,7348.0
6.65e12,535100.0,290.1,2266.0,22.36,3.408e-10,1.322e-10,12.99,24,-1,1.493e7,4.032e-10,2681.0,879.4
4.035e12,479600.0,293.8,9344.0,-9.227,2.316e-9,5.172e-9,1.856,24,-1,1.148e7,1.38e-8,55680.0,20870.0
4.517e12,431800.0,259.2,3321.0,-39.63,7.351e-10,2.56e-11,20.41,24,-1,1.328e7,1.634e-9,7380.0,115.6
1.698e11,411500.0,294.6,85.82,-9.278,5.054e-10,2.427e-10,9.278,24,-1,1.656e6,5.842e-10,99.2,41.21
6.542e11,334800.0,258.3,1992.0,40.4,3.045e-9,2.188e-10,38.97,24,-1,3.564e6,1.376e-8,9003.0,143.1
7.578e11,306100.0,257.1,2184.0,42.53,2.882e-9,1.869e-10,38.97,24,-1,4.303e6,1.292e-8,9791.0,141.6
8.507e11,409200.0,217.8,76.37,-87.16,8.978e-11,5.527e-14,87.16,25,-1,2.618e6,1.348e-10,114.7,0.04702
5.371e13,558500.0,272.4,79900.0,8.086,1.488e-9,1.413e-9,1.856,25,-1,9.466e7,5.867e-9,315100.0,75900.0
8.507e11,409200.0,221.3,86.36,87.16,1.015e-10,8.037e-14,87.16,25,-1,2.618e6,1.432e-10,121.8,0.06837
4.627e13,695300.0,257.5,71790.0,43.39,1.551e-9,1.072e-9,1.856,25,-1,7.091e7,7.01e-9,324400.0,49620.0
1.338e11,324200.0,256.7,340.7,-38.97,2.547e-9,1.102e-10,38.97,25,-1,1.478e6,8.072e-9,1080.0,14.74
6.632e12,491900.0,287.7,1162.0,-22.59,1.752e-10,6.63e-11,12.99,25,-1,1.656e7,1.999e-10,1326.0,439.7
2.176e11,145700.0,223.5,22.42,-75.18,1.03e-10,9.461e-14,72.36,25,-1,2.451e6,1.387e-10,30.18,0.02059
