A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.000671,0.0184,0.0536,0.0345,0.0118,5.57,0,0,0.00246,0.00338
0.0257,0.623,0.0475,0.00171,0.0224,52.8,1,3,0.00467,0.115
0.00477,0.0652,0.0268,0.0137,0.0333,19.1,0,1,0.00694,0.012
0.00595,0.0419,0.0138,0.000171,0.00052,46.7,0,3,0.000108,0.00774
0.0282,0.485,0.0337,0.0513,0.738,16.5,1,1,0.154,0.0895
0.00475,0.022,0.00909,0.00222,0.00538,27.9,0,1,0.00112,0.00406
0.00167,0.0029,0.00341,2.59e-06,2.2e-06,87.2,0,4,4.13e-07,0.000672
0.0274,1.07,0.0769,0.179,2.5,24.6,1,1,0.47,0.249
0.111,1.98,0.0349,0.0288,1.63,47.1,3,3,0.307,0.46
0.00305,0.0797,0.0513,0.00506,0.00787,34.4,0,2,0.00148,0.0185
0.00501,0.217,0.0849,0.0966,0.247,5.28,0,0,0.0463,0.0502
0.0398,0.351,0.0173,0.0114,0.232,25.6,1,1,0.0435,0.0815
0.013,0.0715,0.0107,0.00417,0.0277,22.4,0,1,0.00521,0.0166
0.00791,0.295,0.073,0.163,0.658,9.23,0,0,0.124,0.0683
0.00886,0.105,0.0232,0.000807,0.00365,39.6,0,2,0.000685,0.0243
0.000333,0.00271,0.0159,0.00765,0.0013,9.28,0,0,0.000244,0.000628
0.00128,0.0628,0.096,0.0069,0.00451,40.4,0,2,0.000848,0.0146
0.00149,0.0689,0.0909,0.00589,0.00447,42.5,0,2,0.000839,0.016
0.00167,0.00241,0.00283,1.74e-06,1.48e-06,87.2,0,4,3.72e-07,0.000483
0.105,2.52,0.0469,0.0446,2.39,8.09,2,0,0.601,0.505
0.00167,0.00272,0.0032,2.53e-06,2.16e-06,87.2,0,4,5.41e-07,0.000546
0.0907,2.26,0.0489,0.0338,1.56,43.4,2,2,0.393,0.454
0.000262,0.0107,0.0803,0.00348,0.000465,39,0,2,0.000117,0.00215
0.013,0.0366,0.00553,0.00209,0.0139,22.6,0,1,0.00348,0.00734
0.000427,0.000707,0.00325,2.98e-06,6.49e-07,75.2,0,4,1.63e-07,0.000142
0.00347,0.0226,0.0128,0.00089,0.00157,30.3,0,2,0.000395,0.00453
0.00515,0.0119,0.00453,6.65e-06,1.75e-05,65.3,0,4,4.39e-06,0.00238
0.00423,0.118,0.0548,0.00422,0.0091,32.8,0,2,0.00228,0.0237
0.0389,0.499,0.0251,0.0363,0.722,46.6,1,3,0.105,0.106
0.0241,0.433,0.0351,0.0017,0.0209,50.4,1,3,0.00305,0.0918
0.0201,0.266,0.026,0.000842,0.00863,67,1,4,0.00126,0.0565
0.000336,0.0116,0.0676,0.0518,0.00886,5.57,0,0,0.00129,0.00245
0.00693,0.0642,0.0182,0.0112,0.0396,19.8,0,1,0.00579,0.0136
0.0977,1.84,0.037,0.058,2.89,26.5,2,1,0.422,0.391
0.000308,0.000921,0.00586,0.00135,0.000211,24.1,0,1,3.09e-05,0.000195
0.00375,0.117,0.061,0.00188,0.0036,51.4,0,3,0.000526,0.0247
0.0203,1.06,0.102,0.302,3.13,7.48,1,0,0.457,0.226
0.0173,0.369,0.0418,0.00229,0.0202,44.5,1,2,0.00295,0.0784
0.00175,0.0468,0.0525,0.0077,0.00686,30.3,0,2,0.001,0.00993
0.0701,0.886,0.0248,0.0234,0.837,46.7,2,3,0.214,0.207
0.0504,1.03,0.0399,0.0453,1.17,11.1,2,0,0.299,0.24
0.0403,0.611,0.0297,0.0192,0.396,50.1,1,3,0.101,0.143
0.00249,0.00601,0.00474,0.00108,0.00137,22.7,0,1,0.00035,0.00141
0.0179,0.267,0.0293,0.000376,0.00343,58.9,1,3,0.000878,0.0624
0.000329,0.00145,0.00866,0.0041,0.000687,13,0,0,0.000176,0.00034
0.000955,0.00624,0.0128,0.0047,0.00229,19.2,0,1,0.000587,0.00146
0.00264,0.0853,0.0633,0.00205,0.00277,49,0,3,0.000709,0.02
0.00265,0.129,0.0953,0.15,0.202,10.7,0,0,0.0518,0.0301
0.0153,0.571,0.0733,0.00453,0.0353,48,1,3,0.00904,0.134
0.0171,0.571,0.0654,0.141,1.23,8.33,1,0,0.316,0.134
0.00554,0.0904,0.032,0.00167,0.00472,34.2,0,2,0.00121,0.0212
0.000997,0.0234,0.0461,0.0405,0.0206,9.25,0,0,0.00527,0.00549
0.0638,0.145,0.00447,9.69e-05,0.00315,62.6,2,3,0.000972,0.0381
0.118,2.35,0.0392,0.0274,1.65,9.22,3,0,0.509,0.618
0.00167,0.00308,0.00362,3.42e-06,2.91e-06,87.2,0,4,8.97e-07,0.000807
0.00869,0.448,0.101,0.16,0.708,3.52,0,0,0.219,0.118
0.00328,0.00771,0.0046,0.000691,0.00116,27.4,0,1,0.000357,0.00202
0.0145,0.406,0.0551,0.0688,0.508,5.97,1,0,0.157,0.107
0.000491,0.00152,0.00607,1.51e-05,3.78e-06,68.7,0,4,1.17e-06,0.000399
0.00557,0.163,0.0573,0.00297,0.00845,40.9,0,2,0.00261,0.0427
0.00435,0.214,0.0963,0.154,0.342,2.67,0,0,0.105,0.0561
0.00637,0.0315,0.0097,0.00459,0.0149,18.4,0,1,0.0046,0.00828
0.000661,0.00679,0.0201,0.0103,0.00349,11.1,0,0,0.00108,0.00178
0.000551,0.0297,0.106,0.0116,0.00326,35.3,0,2,0.00101,0.00779
0.00167,0.00163,0.00192,9.42e-07,8.01e-07,87.2,0,4,1.36e-07,0.000372
0.101,1.31,0.0254,0.0325,1.68,38.1,2,2,0.286,0.299
0.0458,0.744,0.0319,0.00275,0.0643,39.8,1,2,0.0109,0.169
0.00167,0.00344,0.00404,3.99e-06,3.39e-06,87.2,0,4,5.78e-07,0.000783
0.00235,0.194,0.161,0.506,0.608,3.43,0,0,0.103,0.0441
0.0127,0.642,0.0993,0.166,1.08,9.63,0,0,0.183,0.146
0.00497,0.012,0.00475,0.00125,0.00316,22.1,0,1,0.000538,0.00274
0.0201,0.983,0.0961,0.178,1.83,8.04,1,0,0.311,0.224
0.00383,0.0691,0.0353,0.00116,0.00227,40.1,0,2,0.000386,0.0157
0.000524,0.0267,0.0997,0.00808,0.00216,39,0,2,0.000368,0.00607
0.0086,0.312,0.071,0.139,0.61,9.91,0,0,0.104,0.0709
0.00162,0.00673,0.00814,4.31e-05,3.57e-05,61,0,3,6.07e-06,0.00153
0.0082,0.0443,0.0106,0.000156,0.000653,48,0,3,0.000111,0.0101
0.000308,0.00106,0.00672,0.00159,0.00025,24.1,0,1,4.26e-05,0.00024
0.000639,0.00485,0.0149,0.00512,0.00167,18.5,0,1,0.000284,0.0011
0.00136,0.0356,0.0514,0.000893,0.000618,54.8,0,3,0.000105,0.00811
0.00167,0.00254,0.00298,2.02e-06,1.72e-06,87.2,0,4,3.36e-07,0.000632
0.0147,0.512,0.0681,0.109,0.816,9.51,1,0,0.159,0.128
0.0248,0.18,0.0142,0.000492,0.00622,65.8,1,4,0.00121,0.0448
0.0194,0.277,0.028,0.0101,0.0998,40.9,1,2,0.0195,0.0691
0.00953,0.0663,0.0136,0.00578,0.0281,23.6,0,1,0.00549,0.0165
0.00722,0.0297,0.00805,5.37e-05,0.000198,51.6,0,3,3.86e-05,0.0074
0.000671,0.0538,0.157,0.425,0.146,5.57,0,0,0.0284,0.0134
0.00387,0.0183,0.00924,0.00617,0.0122,16.6,0,1,0.00238,0.00455
0.00293,0.0328,0.0219,0.021,0.0314,14.6,0,0,0.00613,0.00818
0.101,1.88,0.0365,0.0428,2.21,9.56,2,0,0.431,0.47
0.0312,0.911,0.0573,0.111,1.77,21.6,1,1,0.346,0.227
0.00277,0.00705,0.00499,1.19e-05,1.68e-05,56.6,0,3,3.28e-06,0.00176
0.000661,0.00128,0.00378,0.00168,0.000566,11.1,0,0,0.00011,0.000318
0.00106,0.0343,0.0634,0.00367,0.00199,38,0,2,0.000388,0.00856
0.0256,0.23,0.0176,0.000687,0.00896,55.8,1,3,0.00124,0.0407
0.0281,0.306,0.0214,0.00108,0.0155,49.8,1,3,0.00214,0.0541
0.0379,1.24,0.0643,0.12,2.31,18.5,1,1,0.32,0.22
0.00167,0.00327,0.00385,4.06e-06,3.45e-06,87.2,0,4,4.78e-07,0.000578
0.000487,0.00531,0.0214,0.000121,3.01e-05,61.2,0,3,4.17e-06,0.000938
0.00217,0.00402,0.00363,4.11e-06,4.55e-06,63.4,0,3,6.31e-07,0.00071
0.0013,0.0257,0.0388,0.0191,0.0127,14.8,0,0,0.00175,0.00454
0.00632,0.21,0.0652,0.122,0.394,8.86,0,0,0.0546,0.0371
0.00431,0.137,0.0621,0.00186,0.0041,52.1,0,3,0.000568,0.0241
0.102,3.3,0.0638,0.0855,4.43,8.5,2,0,0.614,0.584
0.00813,0.128,0.0307,0.00124,0.00514,41.4,0,2,0.000712,0.0225
0.0111,0.065,0.0115,0.00566,0.0321,18.8,0,1,0.00445,0.0115
0.114,1.92,0.0332,0.0466,2.7,27,3,1,0.457,0.42
0.0358,0.826,0.0453,0.0837,1.53,26.5,1,1,0.258,0.18
0.0203,0.383,0.0369,0.00151,0.0156,62.2,1,3,0.00263,0.0834
0.0021,0.0484,0.0452,0.000699,0.000749,55.4,0,3,0.000126,0.0106
0.00131,0.0478,0.0716,0.0539,0.036,13.9,0,0,0.00608,0.0104
0.0193,0.6,0.0611,0.0785,0.771,19.4,1,1,0.13,0.131
0.017,0.309,0.0357,0.000778,0.00674,57.1,1,3,0.00114,0.0675
0.00513,0.0169,0.00648,0.00132,0.00344,26.2,0,1,0.000582,0.00369
0.00101,0.0847,0.164,0.628,0.324,3.09,0,0,0.0546,0.0185
0.00164,0.0654,0.0781,0.00377,0.00316,45.6,0,3,0.000534,0.0143
0.0105,0.28,0.0526,0.0993,0.529,10.9,0,0,0.0894,0.0611
0.00167,0.00236,0.00277,1.68e-06,1.42e-06,87.2,0,4,6.33e-07,0.000603
0.0323,0.41,0.0249,0.00209,0.0344,34.7,1,2,0.0153,0.105
0.103,1.61,0.0305,0.00218,0.115,49.5,2,3,0.0511,0.412
0.0135,0.706,0.102,0.215,1.48,9.66,1,0,0.657,0.181
0.00682,0.0539,0.0155,0.0125,0.0435,14.8,0,0,0.0193,0.0138
0.0288,0.532,0.0362,0.0017,0.025,41.8,1,2,0.0111,0.136
0.0168,0.283,0.0329,0.00155,0.0133,42.2,1,2,0.00593,0.0724
0.005,0.233,0.0915,0.198,0.506,6.74,0,0,0.225,0.0597
0.0091,0.0576,0.0124,0.00634,0.0294,20.1,0,1,0.0131,0.0147
0.00806,0.0202,0.00492,0.00125,0.00513,22.3,0,1,0.00228,0.00518
0.0306,0.175,0.0112,0.000311,0.00486,64.2,1,3,0.000944,0.0326
0.0866,2.31,0.0522,0.037,1.63,22.2,2,1,0.317,0.43
0.0066,0.0148,0.00439,4.92e-06,1.66e-05,79.5,0,4,3.22e-06,0.00275
0.000606,0.00242,0.00784,0.00114,0.000354,25.9,0,1,6.87e-05,0.000451
0.0437,1.81,0.0812,0.103,2.28,22.8,1,1,0.444,0.337
0.00442,0.13,0.0578,0.0385,0.0869,20.1,0,1,0.0169,0.0242
0.000262,0.0144,0.108,0.0124,0.00166,39,0,2,0.000322,0.00269
0.0169,0.37,0.0429,0.0585,0.505,19.9,1,1,0.0981,0.0689
0.00817,0.013,0.00313,0.000344,0.00143,25.8,0,1,0.000279,0.00243
0.00749,0.075,0.0196,0.000359,0.00137,43.9,0,2,0.000267,0.014
0.00899,0.327,0.0713,0.0903,0.414,3.89,0,0,0.0804,0.0608
0.00587,0.135,0.045,0.0709,0.212,13.9,0,0,0.0413,0.0251
0.0505,0.391,0.0152,0.000775,0.02,52.5,2,3,0.00492,0.0968
0.146,2.91,0.0389,0.0312,2.33,41.5,3,2,0.573,0.719
0.0157,0.0538,0.00671,0.00338,0.0271,20.2,1,1,0.00669,0.0133
0.00172,0.0235,0.0267,0.00336,0.00295,31.4,0,2,0.000727,0.00581
0.00368,0.288,0.154,0.53,0.994,7.23,0,0,0.245,0.0714
0.00234,0.106,0.0885,0.245,0.293,5,0,0,0.0721,0.0262
0.000597,0.0114,0.0375,0.00495,0.00151,27.8,0,1,0.000371,0.00283
0.00235,0.145,0.121,0.317,0.381,0.793,0,0,0.094,0.0359
0.00387,0.116,0.0586,0.00592,0.0117,34.5,0,2,0.00288,0.0286
0.0198,0.0377,0.00374,9.45e-06,9.53e-05,69.9,1,4,2.51e-05,0.0088
0.0144,0.532,0.0725,0.146,1.07,9.95,1,0,0.282,0.124
0.0314,0.551,0.0343,0.0196,0.314,18.9,1,1,0.0827,0.129
0.0928,1.81,0.0382,0.0203,0.961,51.6,2,3,0.253,0.422
0.00613,0.189,0.0603,0.00267,0.00834,40.5,0,2,0.00219,0.044
0.00606,0.0679,0.022,0.0137,0.0424,18.6,0,1,0.0111,0.0159
0.0124,0.451,0.0711,0.114,0.72,18.2,0,1,0.189,0.105
0.0018,0.00575,0.00625,0.000813,0.000749,26.4,0,1,0.000197,0.00134
0.00557,0.107,0.0377,0.048,0.136,12.9,0,0,0.0359,0.025
0.0049,0.236,0.0944,0.203,0.506,13.4,0,0,0.133,0.0551
0.0209,0.266,0.025,0.000988,0.0105,48,1,3,0.00277,0.0621
0.00133,0.0339,0.05,0.0426,0.0289,9.26,0,0,0.00761,0.00791
0.0899,0.909,0.0198,0.0258,1.18,43.6,2,2,0.304,0.243
0.0297,0.774,0.051,0.0731,1.11,12.1,1,0,0.285,0.207
0.00167,0.00377,0.00443,5.29e-06,4.51e-06,87.2,0,4,1.16e-06,0.00101
0.0414,1.05,0.0499,0.00298,0.0629,42.8,1,2,0.0161,0.281
0.0296,0.326,0.0216,0.00106,0.0159,37.7,1,2,0.00409,0.0872
0.00264,0.054,0.0402,0.0491,0.0661,12.1,0,0,0.017,0.0144
0.000674,0.0594,0.173,1.02,0.349,1.86,0,0,0.0896,0.0159
0.00603,0.0551,0.0179,0.0153,0.047,17.9,0,1,0.0121,0.0147
0.00156,0.0128,0.0161,0.00538,0.00427,22.6,0,1,0.0011,0.00341
0.00235,0.101,0.084,0.261,0.313,5.55,0,0,0.0802,0.0269
0.00163,0.00258,0.00311,0.00196,0.00163,15.2,0,1,0.000417,0.00069
0.000811,0.00268,0.00647,2.35e-05,9.71e-06,61.2,0,3,2.49e-06,0.000715
0.0101,0.0821,0.0159,0.00888,0.0459,19.1,0,1,0.0118,0.0219
0.00536,0.299,0.109,0.255,0.697,2.05,0,0,0.179,0.08
0.000262,0.0108,0.0811,0.00522,0.000699,39,0,2,0.000179,0.0029
0.00167,0.00185,0.00218,1.15e-06,9.77e-07,87.2,0,4,1.64e-07,0.000386
0.00196,0.00715,0.00715,3.69e-05,3.69e-05,49.5,0,3,6.18e-06,0.00149
0.0866,2.37,0.0538,0.0855,3.77,0.279,2,0,0.633,0.495
0.00167,0.0032,0.00377,3.73e-06,3.18e-06,87.2,0,4,5.32e-07,0.000668
0.0973,1.87,0.0378,0.0324,1.61,13,2,0,0.269,0.391
0.00904,0.363,0.0786,0.124,0.572,15.8,0,1,0.0959,0.0756
0.00121,0.0152,0.0246,0.000377,0.000233,53.1,0,3,3.91e-05,0.00317
0.000216,0.0077,0.0698,0.00223,0.000246,50.1,0,3,4.12e-05,0.0016
0.00166,0.0866,0.102,0.0124,0.0105,34.6,0,2,0.00177,0.0181
0.0118,0.0297,0.00495,1.46e-05,8.79e-05,57.8,0,3,1.47e-05,0.0062
0.00823,0.0206,0.0049,8.46e-06,3.55e-05,70,0,4,5.96e-06,0.00429
0.000262,0.0135,0.101,0.00836,0.00112,39,0,2,0.000187,0.00282
0.00167,0.0017,0.002,1.05e-06,8.9e-07,87.2,0,4,3.73e-07,0.000522
0.185,2.46,0.0261,0.0193,1.81,2.02,3,0,0.76,0.756
0.00138,0.0093,0.0132,0.000114,8.01e-05,46.9,0,3,3.36e-05,0.00286
0.0145,0.156,0.0211,0.000795,0.00588,42.6,1,2,0.00246,0.048
0.0015,0.00418,0.00546,1.73e-05,1.32e-05,56,0,3,5.54e-06,0.00128
0.00161,0.00422,0.00515,0.00181,0.00149,17.4,0,1,0.000622,0.0013
0.00844,0.213,0.0495,0.0546,0.235,14.7,0,0,0.0985,0.0654
0.00757,0.27,0.07,0.00419,0.0162,38.8,0,2,0.00677,0.083
0.00301,0.136,0.0886,0.205,0.315,6.78,0,0,0.132,0.0418
0.00167,0.00192,0.00226,1.15e-06,9.8e-07,87.2,0,4,2.08e-07,0.000444
0.00692,0.188,0.0534,0.00292,0.0103,37.1,0,2,0.00218,0.0436
0.00673,0.542,0.158,0.461,1.58,0.37,0,0,0.335,0.125
0.117,1.89,0.0318,0.0163,0.968,48.1,3,3,0.205,0.437
0.0039,0.0716,0.036,0.00303,0.00604,34.1,0,2,0.00128,0.0166
0.00664,0.182,0.0539,0.147,0.497,16.8,0,1,0.105,0.0422
0.000811,0.00167,0.00404,6.1e-06,2.52e-06,61.2,0,3,5.35e-07,0.000387
0.00712,0.0952,0.0262,0.0515,0.187,20.9,0,1,0.0396,0.022
0.00294,0.00747,0.00499,0.00201,0.00301,14.2,0,0,0.000638,0.00173
0.0116,0.179,0.0302,0.00112,0.00665,49.8,0,3,0.00141,0.0415
0.00302,0.186,0.121,0.354,0.545,5.14,0,0,0.115,0.0431
0.00296,0.016,0.0106,0.00119,0.00179,28.5,0,1,0.00038,0.0037
0.00879,0.423,0.0943,0.198,0.886,13.8,0,0,0.188,0.0978
0.0392,0.424,0.0212,0.00075,0.015,41.7,1,2,0.00318,0.0981
0.00451,0.115,0.0502,0.0052,0.012,33,0,2,0.00253,0.0267
0.00167,0.00325,0.00382,3.2e-06,2.72e-06,87.2,0,4,9.9e-07,0.000811
0.000817,0.00207,0.00497,8.22e-06,3.42e-06,66.1,0,4,1.25e-06,0.000517
0.171,3.16,0.0362,0.0306,2.67,19.7,3,1,0.971,0.788
0.0356,0.559,0.0308,0.00177,0.0322,63.4,1,3,0.0117,0.139
0.000162,0.00037,0.00447,9.73e-06,8.05e-07,61.2,0,3,2.93e-07,9.22e-05
0.000597,0.00738,0.0242,0.00394,0.0012,27.8,0,1,0.000436,0.00184
0.00163,0.0529,0.0638,0.00364,0.00301,36.4,0,2,0.0011,0.0132
0.00252,0.0446,0.0347,0.00442,0.00569,33.5,0,2,0.00207,0.0111
0.0296,0.149,0.0099,0.00147,0.0222,28.1,1,1,0.00809,0.0373
0.000308,0.000581,0.0037,0.0012,0.000188,24.1,0,1,6.86e-05,0.000145
0.00687,0.0313,0.00892,0.00408,0.0143,21.4,0,1,0.00521,0.0078
0.00822,0.0155,0.00369,3.2e-06,1.34e-05,78.8,0,4,4.33e-06,0.00353
0.203,3.58,0.0346,0.0294,3.04,25.9,4,1,0.981,0.817
0.00186,0.0159,0.0168,0.000243,0.000231,46.3,0,3,7.45e-05,0.00364
0.0311,0.758,0.0479,0.00363,0.0575,42,1,2,0.0186,0.173
0.00421,0.0093,0.00433,4.68e-06,1e-05,71,0,4,3.24e-06,0.00212
0.000298,0.00236,0.0155,0.0022,0.000335,27.8,0,1,0.000108,0.000538
0.00167,0.00266,0.00312,2.21e-06,1.88e-06,87.2,0,4,3.81e-07,0.000594
0.222,4.2,0.0371,0.0403,4.57,3.44,4,0,0.928,0.938
0.00167,0.0033,0.00389,3.94e-06,3.35e-06,87.2,0,4,6.8e-07,0.000738
0.00135,0.112,0.163,0.508,0.349,3.71,0,0,0.0709,0.025
0.00514,0.0198,0.00754,2.25e-05,5.91e-05,71.1,0,4,1.2e-05,0.00442
0.0081,0.0534,0.0129,0.000344,0.00142,55.9,0,3,0.000289,0.0119
0.00101,0.00345,0.00671,0.00386,0.00198,5.57,0,0,0.000403,0.00077
0.00222,0.0499,0.044,0.00065,0.000737,59.4,0,3,0.00015,0.0111
0.00832,0.0332,0.00782,6.23e-05,0.000264,50.8,0,3,5.37e-05,0.00742
0.153,1.74,0.0223,0.0248,1.94,44.9,3,2,0.407,0.427
0.00662,0.18,0.0534,0.0629,0.212,19.2,0,1,0.0446,0.0443
0.00167,0.00379,0.00446,5.24e-06,4.46e-06,87.2,0,4,9.35e-07,0.000931
0.011,0.0584,0.0104,0.00202,0.0113,26.7,0,1,0.00238,0.0143
0.00489,0.119,0.0478,0.045,0.112,14.1,0,0,0.0236,0.0292
0.000287,0.00793,0.0541,0.00822,0.00121,31.5,0,2,0.000253,0.00195
0.0685,1.97,0.0563,0.0713,2.49,16.1,2,1,0.522,0.483
0.0219,0.0385,0.00345,4.48e-06,5.01e-05,70.2,1,4,1.07e-05,0.0092
0.2,3.18,0.0312,0.0155,1.57,30.9,4,2,0.337,0.76
0.00113,0.00346,0.00599,3.63e-05,2.09e-05,47.8,0,3,4.49e-06,0.000825
0.00803,0.623,0.152,0.523,2.14,5.06,0,0,0.459,0.149
0.00202,0.177,0.171,0.906,0.934,0.619,0,0,0.2,0.0422
0.00544,0.0482,0.0174,0.00259,0.00719,26.1,0,1,0.00154,0.0115
0.00258,0.115,0.0872,0.00559,0.00736,45.4,0,3,0.00158,0.0274
0.00167,0.00289,0.0034,2.44e-06,2.08e-06,87.2,0,4,4.22e-07,0.000569
0.121,2.01,0.0325,0.00245,0.152,54.6,3,3,0.0308,0.396
0.0108,0.186,0.0338,0.00195,0.0107,34.2,0,2,0.00218,0.0366
0.00269,0.227,0.166,0.633,0.869,2.31,0,0,0.177,0.0448
0.102,2.55,0.0489,0.0682,3.56,3.69,2,0,0.723,0.502
0.00117,0.0162,0.0271,0.00421,0.00252,29.6,0,1,0.000512,0.00319
0.00101,0.0858,0.167,0.637,0.328,4.33,0,0,0.0667,0.0169
0.228,3.55,0.0305,0.0275,3.2,34.9,4,2,0.777,0.861
0.00167,0.00337,0.00396,4.66e-06,3.96e-06,87.2,0,4,9.63e-07,0.000817
0.000298,0.000789,0.00519,0.00101,0.000154,27.8,0,1,3.74e-05,0.000191
0.00159,0.0412,0.0507,0.0299,0.0243,18.8,0,1,0.00591,0.00998
0.0073,0.291,0.0781,0.192,0.714,9.22,0,0,0.174,0.0704
0.0103,0.0686,0.013,0.00552,0.0291,24.8,0,1,0.00708,0.0166
0.000994,0.00448,0.00883,0.00435,0.00221,10.5,0,0,0.000536,0.00109
0.00486,0.0815,0.0328,0.00308,0.00765,30.4,0,2,0.00186,0.0197
0.00268,0.0831,0.0609,0.103,0.141,6.47,0,0,0.0342,0.0201
0.00167,0.00265,0.00311,2.13e-06,1.81e-06,87.2,0,4,4.34e-07,0.000512
0.231,4.24,0.0361,0.027,3.17,21.5,4,1,0.76,0.82
0.0129,0.681,0.103,0.15,0.99,5.09,0,0,0.237,0.132
0.00136,0.0435,0.0625,0.00559,0.00389,35.9,0,2,0.00093,0.0084
0.00595,0.201,0.0662,0.00309,0.00939,42.3,0,2,0.00225,0.0388
0.000162,0.000284,0.00343,3.2e-06,2.65e-07,76.1,0,4,6.35e-08,5.49e-05
0.109,1.58,0.0284,0.039,2.17,40.8,3,2,0.354,0.311
0.00167,0.00326,0.00384,3.82e-06,3.25e-06,87.2,0,4,5.3e-07,0.000643
0.00851,0.209,0.0482,0.119,0.516,12.9,0,0,0.0842,0.0412
0.000323,0.00042,0.00255,0.00109,0.00018,16.7,0,1,2.93e-05,8.27e-05
0.137,3.29,0.0471,0.0492,3.44,12.1,3,0,0.562,0.647
0.111,1.3,0.0229,0.0191,1.08,47.5,3,3,0.297,0.303
0.138,2.95,0.042,0.0363,2.54,16.6,3,1,0.699,0.69
0.00167,0.00345,0.00405,4.24e-06,3.61e-06,87.2,0,4,9.91e-07,0.000807
0.00132,0.0185,0.0274,0.0184,0.0124,11.1,0,0,0.00342,0.00432
0.000316,0.00109,0.00676,0.0022,0.000355,20.4,0,1,9.75e-05,0.000255
0.000652,0.00574,0.0173,0.00709,0.00236,14.8,0,0,0.000647,0.00134
0.193,2.78,0.0282,0.0234,2.31,22,4,1,0.924,0.752
0.0417,0.599,0.0282,0.00149,0.0317,62.6,1,3,0.0127,0.162
0.000199,0.00473,0.0465,0.000681,6.92e-05,53.8,0,3,2.77e-05,0.00128
0.00184,0.00945,0.0101,0.00242,0.00226,24.7,0,1,0.000906,0.00256
0.0026,0.0253,0.0191,0.012,0.0159,14.8,0,0,0.00637,0.00684
0.00415,0.209,0.0986,0.00863,0.0183,43.3,0,2,0.00731,0.0564
0.000674,0.051,0.148,0.326,0.112,1.86,0,0,0.0449,0.0138
0.00293,0.0173,0.0116,0.00644,0.00962,15,0,1,0.00385,0.00469
0.00167,0.00317,0.00372,2.93e-06,2.5e-06,87.2,0,4,6.26e-07,0.00069
0.243,4.19,0.0338,0.0254,3.16,19.1,4,1,0.792,0.913
0.00138,0.0543,0.0772,0.00317,0.00223,46.9,0,3,0.000559,0.0118
0.000216,0.00803,0.0727,0.00251,0.000277,50.1,0,3,6.94e-05,0.00175
0.0037,0.296,0.157,0.436,0.823,1.85,0,0,0.207,0.0644
0.00113,0.0369,0.0643,0.00552,0.00317,33.4,0,2,0.000794,0.00805
0.00284,0.00531,0.00367,3.01e-06,4.36e-06,83.8,0,4,6.9e-07,0.000959
0.242,4.99,0.0403,0.0416,5.14,15.5,4,1,0.815,0.9
0.0144,0.549,0.0748,0.159,1.17,15.6,1,1,0.185,0.0992
0.00167,0.00295,0.00347,2.64e-06,2.24e-06,87.2,0,4,3.66e-07,0.000546
0.248,5.36,0.0424,0.0485,6.14,11.8,4,0,1,0.993
0.00622,0.0145,0.00456,4.98e-06,1.58e-05,81,0,4,2.58e-06,0.00268
0.000713,0.0206,0.0567,0.00211,0.000766,45.1,0,3,0.000125,0.00383
0.0294,0.313,0.0208,0.000898,0.0135,59,1,3,0.00171,0.0584
0.0586,1.01,0.0338,0.0472,1.41,35.4,2,2,0.179,0.189
0.00167,0.00379,0.00445,5.55e-06,4.72e-06,87.2,0,4,5.98e-07,0.000707
0.147,3.97,0.0531,0.0864,6.46,5.89,3,0,0.819,0.742
0.000465,0.00223,0.00938,8.94e-05,2.12e-05,46.4,0,3,2.69e-06,0.000416
0.00369,0.0542,0.0288,0.00258,0.00487,32.2,0,2,0.000616,0.0101
0.0693,0.143,0.00405,3.81e-05,0.00135,62.2,2,3,0.000502,0.0435
0.00167,0.00245,0.00288,2.1e-06,1.78e-06,87.2,0,4,6.65e-07,0.000745
0.000323,0.000618,0.00375,0.00136,0.000224,16.7,0,1,8.34e-05,0.000188
0.000316,0.000761,0.00472,0.00117,0.000189,20.4,0,1,7.06e-05,0.000232
0.0079,0.445,0.11,0.121,0.488,11,0,0,0.182,0.135
0.155,2.45,0.0309,0.0217,1.72,18.9,3,1,0.641,0.746
0.00204,0.00948,0.0091,7.94e-05,8.26e-05,52.4,0,3,3.08e-05,0.00288
0.000323,0.00427,0.0259,0.0115,0.00189,16.7,0,1,0.000706,0.0013
0.000337,0.0292,0.17,0.688,0.118,1.86,0,0,0.0441,0.00888
0.00531,0.201,0.074,0.13,0.352,9.72,0,0,0.131,0.061
0.0119,0.0193,0.00318,2.32e-06,1.41e-05,76.4,0,4,2.73e-06,0.00351
0.237,5.36,0.0444,0.0426,5.15,31.6,4,2,0.999,0.976
0.000323,0.0011,0.00669,0.00211,0.000347,16.7,0,1,6.74e-05,0.000201
0.000586,0.00849,0.0284,0.00215,0.000642,29.6,0,1,0.000125,0.00154
0.00424,0.103,0.0478,0.00222,0.00479,37.3,0,2,0.00093,0.0188
0.00167,0.00223,0.00263,1.54e-06,1.31e-06,87.2,0,4,1.9e-07,0.000356
0.0492,1.45,0.0576,0.0571,1.43,28.2,2,1,0.208,0.23
0.0915,2,0.0428,0.0483,2.26,37.1,2,2,0.328,0.318
0.003,0.113,0.074,0.17,0.26,7.18,0,0,0.0377,0.0181
