A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.00351,0.148,0.0828,0.00484,0.00866,45.5,0,3,0.00129,0.03
0.000233,0.000672,0.00566,3.95e-05,4.69e-06,46.4,0,3,6.97e-07,0.000136
0.00334,0.00597,0.0035,2.63e-06,4.48e-06,84.3,0,4,7.49e-07,0.0012
0.0986,1.65,0.0328,0.00684,0.344,50.9,2,3,0.0575,0.333
0.0138,0.314,0.0446,0.00272,0.0192,35.5,1,2,0.00321,0.0634
0.0037,0.303,0.161,0.531,1,0.169,0,0,0.168,0.0612
0.0549,1.39,0.0497,0.0742,2.08,21.8,2,1,0.347,0.28
0.0257,0.564,0.0431,0.0634,0.829,26.2,1,1,0.139,0.114
0.00302,0.00616,0.004,1.14e-05,1.75e-05,53,0,3,2.92e-06,0.00124
0.000329,0.00564,0.0336,0.0181,0.00303,13,0,0,0.000507,0.00114
0.000248,0.0016,0.0126,0.000119,1.5e-05,42.7,0,2,2.51e-06,0.000322
0.00336,0.178,0.104,0.219,0.375,3.7,0,0,0.0627,0.036
0.00296,0.127,0.0842,0.00437,0.0066,42.9,0,2,0.0011,0.0256
0.00267,0.0246,0.0181,0.00342,0.00466,28.2,0,1,0.00078,0.00497
0.00471,0.385,0.16,0.549,1.32,2.38,0,0,0.221,0.0777
0.121,2.07,0.0336,0.0481,2.97,35,3,2,0.532,0.492
0.00341,0.0235,0.0136,6.23e-05,0.000108,66.5,0,4,1.94e-05,0.00559
0.00167,0.00327,0.00385,4.11e-06,3.49e-06,87.2,0,4,6.25e-07,0.000777
0.00688,0.0643,0.0183,0.000621,0.00218,49.2,0,3,0.00039,0.0153
0.00335,0.186,0.109,0.216,0.368,5.17,0,0,0.0659,0.0441
0.000233,0.00927,0.0781,0.00308,0.000365,46.4,0,3,6.53e-05,0.0022
0.0348,1.03,0.0578,0.0965,1.71,13.7,1,0,0.306,0.243
0.000713,0.0334,0.0918,0.00575,0.00209,45.1,0,3,0.000374,0.00793
0.00552,0.0137,0.00487,1.31e-05,3.69e-05,53.5,0,3,6.6e-06,0.00325
0.000262,0.0139,0.104,0.0123,0.00164,39,0,2,0.000294,0.0033
0.0156,0.19,0.0239,0.027,0.215,23.6,1,1,0.0385,0.045
0.00462,0.072,0.0306,0.0399,0.0939,11.3,0,0,0.0168,0.0171
0.00216,0.00525,0.00476,7.6e-06,8.39e-06,71.7,0,4,1.5e-06,0.00125
0.0121,0.223,0.036,0.00534,0.033,32.1,0,2,0.00591,0.0528
0.000329,0.000165,0.000982,0.000491,8.23e-05,13,0,0,1.47e-05,3.91e-05
0.00266,0.107,0.0789,0.13,0.176,9.72,0,0,0.0315,0.0254
0.00508,0.172,0.0663,0.00467,0.0121,37.1,0,2,0.00216,0.0407
0.0072,0.011,0.003,2.08e-06,7.64e-06,78.6,0,4,1.26e-06,0.00221
0.075,1.75,0.0458,0.0595,2.28,12.5,2,0,0.376,0.351
0.00167,0.00247,0.0029,2.27e-06,1.93e-06,87.2,0,4,3.19e-07,0.000493
0.0238,0.983,0.0811,0.0991,1.2,5.01,1,0,0.198,0.197
0.00569,0.0131,0.00451,7.1e-06,2.06e-05,71.1,0,4,3.4e-06,0.00262
0.00211,0.00926,0.00862,0.000995,0.00107,26.7,0,1,0.000176,0.00185
0.000325,0.000617,0.00373,7.46e-06,1.23e-06,61.2,0,3,2.04e-07,0.000123
0.000329,0.00904,0.0539,0.0281,0.00471,13,0,0,0.000778,0.00181
0.00498,0.097,0.0382,0.00327,0.00831,34.3,0,2,0.00137,0.0194
0.0116,0.142,0.024,0.000982,0.00581,44.6,0,2,0.000959,0.0283
0.00217,0.00356,0.00322,0.000761,0.000841,22.9,0,1,0.000139,0.000712
0.000329,0.000562,0.00335,0.00119,0.0002,13,0,0,3.3e-05,0.000112
0.00226,0.068,0.0589,0.00817,0.00943,32.9,0,2,0.00156,0.0136
0.0566,1.74,0.0601,0.0881,2.54,16.7,2,1,0.42,0.347
0.015,0.061,0.00798,7.86e-05,0.0006,65.8,1,4,9.91e-05,0.0122
0.0119,0.112,0.0186,0.000642,0.00388,50.3,0,3,0.000641,0.0225
0.0873,1.34,0.0301,0.0398,1.77,40.4,2,2,0.323,0.297
0.00167,0.00342,0.00403,4.24e-06,3.6e-06,87.2,0,4,6.56e-07,0.000757
0.00132,0.00501,0.00745,0.00466,0.00314,12.1,0,0,0.000571,0.00111
0.000575,0.0191,0.065,0.00892,0.00261,31.5,0,2,0.000476,0.00421
0.00114,0.0263,0.0453,0.00517,0.003,32.4,0,2,0.000546,0.00581
0.0107,0.243,0.0445,0.126,0.691,14.1,0,0,0.126,0.0538
0.000245,0.000945,0.00754,1.89e-05,2.37e-06,68.7,0,4,4.32e-07,0.000209
0.000481,0.0223,0.091,0.00559,0.00137,44.5,0,2,0.000249,0.00493
0.00161,0.00652,0.00796,0.00396,0.00325,17.4,0,1,0.000591,0.00144
0.0307,0.748,0.0477,0.0749,1.18,4.49,1,0,0.214,0.165
0.0815,2.02,0.0487,0.0432,1.8,25.6,2,1,0.327,0.447
0.00165,0.0509,0.0604,0.045,0.0379,11.5,0,0,0.00691,0.0113
0.000316,0.000825,0.00512,0.00194,0.000313,20.4,0,1,5.7e-05,0.000182
